iso,anio,reservas_usd,reservas_meses
ABW,2015,815800560.0,4.24241135576558
ABW,2016,922550890.0,5.03557327314366
ABW,2017,907111452.513966,4.80169322264787
ABW,2018,980247680.0,4.61716936332368
ABW,2019,982300000.0,4.73765122446844
ABW,2020,1212578720.0,8.12875540805488
ABW,2021,1512960280.0,8.60890892631567
ABW,2022,1543940590.0,6.97828441803822
ABW,2023,1468151730.0,5.82381270702624
ARG,2015,25520565580.4894,3.36214425707702
ARG,2016,38414518491.6131,5.09719624487539
ARG,2017,55314409205.2188,6.0503876658256
ARG,2018,66221501691.4418,7.11111211150086
ARG,2019,44880566052.3702,5.94220121846315
ARG,2020,39403734630.1228,7.09405401009515
ARG,2021,39653498610.7828,5.6049034262494
ARG,2022,44795335171.5152,4.75930856415363
ARG,2023,23080560550.2946,2.4575525157541
ATG,2015,355728253.383607,4.44769315126999
ATG,2016,330090979.265026,3.80829063425904
ATG,2017,313645370.808951,3.5380622798238
ATG,2018,328659747.502548,3.19686066667428
ATG,2019,279133212.713698,2.60209970947355
ATG,2020,221808945.85044,3.47069026852629
ATG,2021,367511735.686638,4.71484752922305
ATG,2022,396505745.512242,3.59891035691415
ATG,2023,364367020.1964,3.19468714679939
BHS,2015,895475136.251959,2.29663852087598
BHS,2016,1001933945.18352,2.42753105593859
BHS,2017,1413972940.8557,3.18337801408718
BHS,2018,1345344674.14448,2.76440306147579
BHS,2019,1757782753.50027,3.85200499675232
BHS,2020,2382077961.01193,7.35609883565823
BHS,2021,2432716261.37974,5.10937798510661
BHS,2022,2609421074.79741,4.62433819062106
BHS,2023,2511681591.43478,4.17333846415304
BLZ,2015,437151657.938584,4.08119529629944
BLZ,2016,376735092.705476,3.62358607235614
BLZ,2017,312140148.194318,2.95842320942662
BLZ,2018,294468435.057293,2.69767692045651
BLZ,2019,277578761.136721,2.41959366396948
BLZ,2020,348090076.019869,4.31496825539472
BLZ,2021,420102782.499484,3.78003847266624
BLZ,2022,482145605.528776,3.36732370046332
BLZ,2023,473729034.128495,3.33379982726137
BOL,2015,13049620686.0687,11.9126085142484
BOL,2016,10053627485.0797,10.4472997333726
BOL,2017,10245969449.673,9.41959767332488
BOL,2018,8929614182.53613,7.90914049803566
BOL,2019,6455449941.67879,5.98827234781854
BOL,2020,5247234668.79634,7.32588143490116
BOL,2021,4730168839.86019,5.03194280625603
BOL,2022,3752070996.50723,3.03722996337965
BOL,2023,1799951502.87318,1.5026672387796
BRA,2015,356464980327.488,14.6482488458147
BRA,2016,364984039092.456,16.6034201407585
BRA,2017,373955518686.487,14.8647023427237
BRA,2018,374709673447.827,13.202166862988
BRA,2019,356886386911.978,12.2312070465135
BRA,2020,355614251456.139,14.9438769882272
BRA,2021,362210079181.317,11.1402301211994
BRA,2022,324673449781.4,8.3357921852962
BRA,2023,355021395541.562,9.43008741044696
BRB,2015,553604323.881265,2.41915861354469
BRB,2016,431758241.990471,1.6834400560226
BRB,2017,265841633.120924,1.25640510866189
BRB,2018,533906813.039013,
BRB,2019,772118649.502051,
BRB,2020,1358013876.0884,
BRB,2021,1672884485.22112,
BRB,2022,1519660179.91511,
BRB,2023,1605919490.51552,
CHL,2015,38641176606.0314,5.45339619283524
CHL,2016,40493293729.5296,5.78588755052344
CHL,2017,38981539753.7984,4.90281936187665
CHL,2018,39858824174.8114,4.38194459144938
CHL,2019,40655524238.3282,4.69728067944713
CHL,2020,39166118109.4101,5.28711808990111
CHL,2021,51252167799.6881,4.69423974456818
CHL,2022,39102338845.0328,3.18145571608367
CHL,2023,46377347796.8251,4.37851771232182
COL,2015,46222893468.5249,7.29304800301966
COL,2016,46173772892.6654,8.32883468161759
COL,2017,47131104746.7563,7.88739431363664
COL,2018,47887623364.3511,7.01653628399101
COL,2019,52652707434.7901,7.68978168444084
COL,2020,58499477956.7248,11.5419853283327
COL,2021,58018679406.6872,8.13634445223536
COL,2022,56703971712.5605,5.98792041600812
COL,2023,59040690523.7904,7.1661637402161
CRI,2015,7833931554.67419,4.73758461985227
CRI,2016,7573806767.99203,4.37435530096995
CRI,2017,7149834513.74318,3.80306697765494
CRI,2018,7500924411.18613,3.68115753123254
CRI,2019,8937069411.20633,4.34874643630183
CRI,2020,7231533677.41304,4.03645988295648
CRI,2021,6921168830.74903,3.13832500450207
CRI,2022,8554013584.20952,3.14801516571318
CRI,2023,13225042447.0424,4.26149628211047
DMA,2015,126225919.300594,4.22431879730821
DMA,2016,221907763.515911,7.34409544714442
DMA,2017,212292574.606832,7.5851846858776
DMA,2018,191323608.30539,5.22963469521241
DMA,2019,155172395.26019,4.04717008628348
DMA,2020,165824163.308941,6.50318234565576
DMA,2021,190843317.142588,7.03827433544329
DMA,2022,204343039.949667,6.790659243852
DMA,2023,183530007.089389,4.69894271019133
DOM,2015,5266043354.25313,2.68192205594666
DOM,2016,6134227406.75062,3.00451954616357
DOM,2017,6872905749.30284,3.2605850675694
DOM,2018,7717561574.1843,3.25802764042763
DOM,2019,8870942286.35981,3.63801766993102
DOM,2020,10844812012.4981,5.2833868887391
DOM,2021,13124643488.9252,4.63496719728729
DOM,2022,14522975012.3239,4.14184776760321
DOM,2023,15546714438.2443,4.515783730519
ECU,2015,2487276599.56404,1.15848913221995
ECU,2016,4215553160.05677,2.32915637961455
ECU,2017,2169697856.6482,1.01272465167522
ECU,2018,2158694032.41429,0.870720975059323
ECU,2019,2939049266.08468,1.1953760193501
ECU,2020,7136589071.47074,3.62324133730871
ECU,2021,7912190379.51527,3.14024403628794
ECU,2022,8459270681.86545,2.61951053578525
ECU,2023,4441563798.69096,1.38504196281503
GRD,2015,197973503.320903,3.83432425987667
GRD,2016,207689282.825893,4.0389966748825
GRD,2017,199125887.285472,3.31244897429638
GRD,2018,233815853.807382,3.61163944551161
GRD,2019,236325345.085472,3.4570206135701
GRD,2020,293320432.166449,5.53483668085259
GRD,2021,348259248.620045,5.6623166715347
GRD,2022,371767322.523094,4.99826508141253
GRD,2023,404129916.314621,4.45043724330172
GTM,2015,7745916506.07283,4.48655959425149
GTM,2016,9152627961.3824,5.39252774660577
GTM,2017,11765104230.8297,6.41020697803573
GTM,2018,12583121641.7733,6.40479889833294
GTM,2019,14784046764.6684,7.4103673669698
GTM,2020,18463562201.5352,10.2173613767766
GTM,2021,20934881434.6135,8.23943876217829
GTM,2022,20414938168.4224,6.5418647863872
GTM,2023,21311089849.3863,6.92588613880403
GUY,2015,531887027.917001,3.50428985584459
GUY,2016,580981472.737257,3.65498512142591
GUY,2017,565363504.401139,3.26023773461993
GUY,2018,518509369.454311,1.85985354643246
GUY,2019,573446281.433525,1.27736978066898
GUY,2020,680634183.680422,1.96394906868623
GUY,2021,790784502.119024,1.33843920798195
GUY,2022,917877051.389658,1.30183979856479
GUY,2023,895275181.194153,0.849936413375677
HND,2015,3754265677.88215,3.81504020797459
HND,2016,3813545536.14649,3.97851795441165
HND,2017,4708097401.41206,4.55787605167244
HND,2018,4769082161.53781,4.05376586741829
HND,2019,5744253369.31693,4.92944029581198
HND,2020,8138457727.65673,8.34018166616794
HND,2021,8666862380.88312,5.99328174481678
HND,2022,8410394831.45325,4.84086437645039
HND,2023,7543352779.92798,4.3065654054595
HTI,2015,1902499197.97709,5.05358917787021
HTI,2016,2081778585.31217,5.82541584392748
HTI,2017,2316457386.78663,5.73733903926577
HTI,2018,2273981843.67693,5.01840870175883
HTI,2019,2355488437.86306,5.82408945576629
HTI,2020,2590258526.98275,7.40225239052697
HTI,2021,2457439221.85644,5.82004637291176
HTI,2022,2173397186.29319,4.76946098998481
HTI,2023,2583016532.68436,5.79295823641171
JAM,2015,2913835195.89151,4.74928181293947
JAM,2016,3291468022.15921,5.52675266361167
JAM,2017,3781167558.10295,5.69691068614603
JAM,2018,3532039680.05605,4.79732336970532
JAM,2019,3631089258.40452,4.77244101543929
JAM,2020,3938028780.65402,7.03930316110937
JAM,2021,4837564537.17809,7.07548946998448
JAM,2022,4520481084.67503,5.14840906552561
JAM,2023,4868643492.7225,5.45473168929283
KNA,2015,288394872.297999,5.61599194620497
KNA,2016,320542568.31894,6.02159855031143
KNA,2017,365098328.465168,7.09584889971389
KNA,2018,363216830.554272,6.597862040271
KNA,2019,362798006.089721,6.6725651472373
KNA,2020,373502419.388162,9.31125434473547
KNA,2021,337532614.294912,8.8563007369007
KNA,2022,293979512.215724,5.40127299880112
KNA,2023,286074596.982653,4.56749477767838
LCA,2015,317540361.620252,3.74807071900081
LCA,2016,305519500.768958,3.44999825172464
LCA,2017,321767417.204396,3.47441325755226
LCA,2018,285824309.747523,3.0002032446693
LCA,2019,260870367.109565,2.62039555741983
LCA,2020,231361279.00078,3.43479867374357
LCA,2021,433117473.472593,5.29930846290853
LCA,2022,389083414.445693,3.24288751432937
LCA,2023,424323643.897079,3.26389479224381
MEX,2015,177596632552.624,4.46007738307296
MEX,2016,177973637254.61,4.54794007085504
MEX,2017,175469669183.544,4.12120736692421
MEX,2018,176390278595.584,3.74611361421752
MEX,2019,183056094117.556,3.91541539352767
MEX,2020,199069188921.046,5.07902828726659
MEX,2021,207799490381.042,4.12398114778684
MEX,2022,201118689946.087,3.32190681281323
MEX,2023,214316827085.02,3.44254741981939
NIC,2015,2492262791.93881,3.7741066722948
NIC,2016,2447771381.81086,3.68793006412423
NIC,2017,2757785586.66498,3.96565932174712
NIC,2018,2261143360.12993,3.6196633389663
NIC,2019,2397444668.92872,4.22382781699916
NIC,2020,3211903361.95717,5.66673140782846
NIC,2021,4046556203.71439,5.32651863066261
NIC,2022,4404430742.32312,4.58563994758519
NIC,2023,5446998877.80189,5.60886126583169
PAN,2015,3378098353.89896,1.24336118096205
PAN,2016,3846753359.06372,1.46541211430657
PAN,2017,2703336161.52673,0.985426456341139
PAN,2018,2121303718.10741,0.713868712704278
PAN,2019,3423477098.41293,1.21543506107725
PAN,2020,9613847648.57363,5.4739359014065
PAN,2021,8832242051.03447,3.57178726109383
PAN,2022,6876072133.54101,2.1868051977748
PAN,2023,6756683681.74504,1.84468483901908
PER,2015,61594854517.8208,13.5146151849289
PER,2016,61801163825.775,13.7928059022351
PER,2017,63819289822.9382,12.6238201396483
PER,2018,60333192028.0169,11.0830385218691
PER,2019,68440494635.2458,12.7993509450421
PER,2020,74961659711.1288,17.7269194192975
PER,2021,78589897922.7032,12.0596433897054
PER,2022,72328123071.4846,9.69399078779117
PER,2023,71394387239.6392,10.24496362671
PRI,2015,,
PRI,2016,,
PRI,2017,,
PRI,2018,,
PRI,2019,,
PRI,2020,,
PRI,2021,,
PRI,2022,,
PRI,2023,,
PRY,2015,5938523046.9591,5.34358807961526
PRY,2016,6880868043.64371,6.50387352526993
PRY,2017,7877536165.92124,6.43777405690208
PRY,2018,7697884446.2912,5.67943257462605
PRY,2019,7717366750.62534,6.03053633941859
PRY,2020,9202411639.30502,8.95570544833351
PRY,2021,9661226172.74015,7.25198978805073
PRY,2022,9518826116.61083,6.11078283387662
PRY,2023,9885683629.59266,5.96576531400375
SLV,2015,2786587496.10091,2.75412377179494
SLV,2016,3238334348.81609,3.21246782856236
SLV,2017,3567268275.79971,3.32164342936321
SLV,2018,3568810597.97393,3.05509694748584
SLV,2019,4445830632.52269,3.7962533741022
SLV,2020,3082859548.1397,3.08381767461304
SLV,2021,3426052270.22409,2.36816272526362
SLV,2022,2694849266.61349,1.5809932923873
SLV,2023,3079168947.08155,1.88363728344527
SUR,2015,330244649.262198,1.46264722982037
SUR,2016,381050648.917497,2.42029925084835
SUR,2017,424603963.080103,2.31457000159177
SUR,2018,580780344.590911,2.79585970804782
SUR,2019,647934729.692427,2.73212989406859
SUR,2020,584929135.567322,3.02749465777246
SUR,2021,992256911.851907,5.23116182863996
SUR,2022,1194597643.59574,5.38622845997448
SUR,2023,1346122670.63627,6.28334366192083
TTO,2015,9927294618.75719,10.6152502907717
TTO,2016,9464961137.25085,10.6266420162222
TTO,2017,8369757249.16876,10.1209172206374
TTO,2018,7575050348.59938,8.73391379485296
TTO,2019,6928951713.59145,9.0517059802333
TTO,2020,6953756951.24419,9.98053113939288
TTO,2021,6879594621.96588,8.51583252950165
TTO,2022,6832392604.5144,5.23356973118278
TTO,2023,6255633381.74802,7.51755820505273
URY,2015,15633854333.4106,10.5365060733601
URY,2016,13471669447.4569,10.0260447313037
URY,2017,15959345500.7884,10.3573672512103
URY,2018,15556520867.2273,9.67309074082578
URY,2019,14504021740.9161,9.54589495488953
URY,2020,16250371651.3164,12.8094032622181
URY,2021,16962770286.5533,8.98319550226492
URY,2022,15126762057.5326,6.54647206865833
URY,2023,16256769466.6151,7.20661793162358
VCT,2015,166009602.198323,4.49785994152175
VCT,2016,192255789.768022,5.08927302145391
VCT,2017,182046079.244525,4.94893570201221
VCT,2018,169562298.93521,4.40846804942075
VCT,2019,193357067.381966,5.3009680625879
VCT,2020,205195146.794269,6.31753148805809
VCT,2021,311902934.999223,8.26662277597421
VCT,2022,320193327.161331,6.87607014697392
VCT,2023,280564003.843077,5.55397259005317
VEN,2015,15625329211.5224,3.37152426616083
VEN,2016,10150000483.5116,3.65381748319002
VEN,2017,9794062064.62109,
VEN,2018,,
VEN,2019,,
VEN,2020,,
VEN,2021,,
VEN,2022,,
VEN,2023,,
